"","Month","Mean (per day)","Year"
"1","01",830.354838709677,"2025"
"2","02",864.392857142857,"2025"
"3","03",1342.1935483871,"2025"
"4","04",1550.23333333333,"2025"
"5","05",1828.54838709677,"2025"
"6","06",1280.22222222222,"2025"
