"","month","time","Datetime","Total","West","East","date"
"1","01","00:00",2024-01-16,3.64516129032258,1.41935483870968,2.2258064516129,2024-01-16
"2","01","01:00",2024-01-16 01:00:00,0.32258064516129,0.129032258064516,0.193548387096774,2024-01-16
"3","01","02:00",2024-01-16 02:00:00,0.806451612903226,0.32258064516129,0.483870967741935,2024-01-16
"4","01","03:00",2024-01-16 03:00:00,1,0.161290322580645,0.838709677419355,2024-01-16
"5","01","04:00",2024-01-16 04:00:00,1.7741935483871,0.67741935483871,1.09677419354839,2024-01-16
"6","01","05:00",2024-01-16 05:00:00,3.96774193548387,1.45161290322581,2.51612903225806,2024-01-16
"7","01","06:00",2024-01-16 06:00:00,14.3870967741935,10.5483870967742,3.83870967741935,2024-01-16
"8","01","07:00",2024-01-16 07:00:00,39.1935483870968,28.3225806451613,10.8709677419355,2024-01-16
"9","01","08:00",2024-01-16 08:00:00,76.0322580645161,56.2258064516129,19.8064516129032,2024-01-16
"10","01","09:00",2024-01-16 09:00:00,51.4838709677419,27.8709677419355,23.6129032258065,2024-01-16
"11","01","10:00",2024-01-16 10:00:00,51.5806451612903,21.4838709677419,30.0967741935484,2024-01-16
"12","01","11:00",2024-01-16 11:00:00,60.0967741935484,26.9354838709677,33.1612903225806,2024-01-16
"13","01","12:00",2024-01-16 12:00:00,66.6451612903226,33.8064516129032,32.8387096774194,2024-01-16
"14","01","13:00",2024-01-16 13:00:00,64.3870967741936,30.4516129032258,33.9354838709677,2024-01-16
"15","01","14:00",2024-01-16 14:00:00,56.3870967741936,26.1290322580645,30.258064516129,2024-01-16
"16","01","15:00",2024-01-16 15:00:00,55.8064516129032,25.9677419354839,29.8387096774194,2024-01-16
"17","01","16:00",2024-01-16 16:00:00,52.9354838709677,19.7741935483871,33.1612903225806,2024-01-16
"18","01","17:00",2024-01-16 17:00:00,72.9354838709677,15.0967741935484,57.8387096774194,2024-01-16
"19","01","18:00",2024-01-16 18:00:00,61.5806451612903,14.2258064516129,47.3548387096774,2024-01-16
"20","01","19:00",2024-01-16 19:00:00,31.4516129032258,9.87096774193548,21.5806451612903,2024-01-16
"21","01","20:00",2024-01-16 20:00:00,19.5806451612903,7.41935483870968,12.1612903225806,2024-01-16
"22","01","21:00",2024-01-16 21:00:00,12.1290322580645,3.93548387096774,8.19354838709677,2024-01-16
"23","01","22:00",2024-01-16 22:00:00,6.93548387096774,1.70967741935484,5.2258064516129,2024-01-16
"24","01","23:00",2024-01-16 23:00:00,4.45161290322581,0.935483870967742,3.51612903225806,2024-01-16
"25","02","00:00",2024-02-15,3.75862068965517,1.51724137931034,2.24137931034483,2024-02-15
"26","02","01:00",2024-02-15 01:00:00,0.724137931034483,0.206896551724138,0.517241379310345,2024-02-15
"27","02","02:00",2024-02-15 02:00:00,1.24137931034483,0.310344827586207,0.931034482758621,2024-02-15
"28","02","03:00",2024-02-15 03:00:00,0.724137931034483,0.206896551724138,0.517241379310345,2024-02-15
