"","X","dem_age","dem_gender","dem_ethnicity","dem_employment","dem_education","car_ownership","bike_ownership","bikeshare_use","bike_to_work","dest_parking","cycling_frequ","cycling_history","cycle_frequ_history","maintenance","escort","use_cycleway","use_cycleway_frequ","route_change","perception_safety","perception_speed","perception_stress","perception_safety2","perception_speed2","perception_stress2","leave_cycleway","car_changes","walk_changes","perception_safety_all","perception_speed_all","perception_stress_all","purpose_dummy","safety_gear_dummy","x_purpose_work","x_purpose_shopping","x_purpose_hobby","x_purpose_social","x_purpose_leisure","x_purpose_multi-mode","x_purpose_other","x_purpose_education","x_safety_gear_2","x_safety_gear_0","x_safety_gear_1","x_safety_gear_4","x_safety_gear_3","x_leave_reason_NA","x_leave_reason_cyclists","x_leave_reason_trafficlight","x_leave_reason_roadquality","x_leave_reason_pedestrians","x_leave_reason_roadside","x_leave_reason_other","x_leave_reason_busstop","x_leave_reason_intersection","x_stress_source_car","x_stress_source_intersection","x_stress_source_cyclist","x_stress_source_bus","x_stress_source_pedestrian","x_primary_purpose_work","x_primary_purpose_leisure","x_primary_purpose_shopping","x_primary_purpose_other","x_primary_purpose_social","x_primary_purpose_education","x_primary_purpose_hobby","x_primary_purpose_multi-mode"
"18",18,2,0,1,2,4,3,1,0,0,1,0,NA,0,2,0,1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,3,1,1,2,4,0,1,1,1,2,1,5,NA,2,0,1,0,2,-1,-2,-1,NA,NA,NA,1,NA,-1,-1,-2,-1,4,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"20",20,2,1,1,2,4,2,1,0,0,2,2,5,NA,2,0,1,2,2,2,2,-2,NA,NA,NA,0,NA,NA,2,2,-2,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"21",21,6,1,1,NA,4,2,1,0,0,NA,2,5,NA,2,0,1,1,2,2,-2,-1,NA,NA,NA,0,NA,NA,2,-2,-1,1,3,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,3,0,1,2,4,0,1,0,0,1,3,5,NA,2,2,1,2,2,2,-2,-2,NA,NA,NA,0,NA,-1,2,-2,-2,6,3,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"23",23,5,0,1,1,4,2,1,0,1,0,3,4,NA,2,0,1,2,3,NA,NA,NA,2,2,-2,1,NA,NA,2,2,-2,5,4,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"24",24,3,0,1,2,4,3,1,0,NA,0,2,5,NA,2,2,1,3,3,NA,NA,NA,2,-1,-2,0,NA,NA,2,-1,-2,1,3,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,4,0,1,2,4,2,1,0,1,2,3,5,NA,2,2,1,3,0,2,-1,-1,NA,NA,NA,1,-2,2,2,-1,-1,4,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"26",26,3,1,1,2,4,3,1,0,0,1,3,3,NA,2,0,1,3,0,-1,-1,-1,NA,NA,NA,0,NA,NA,-1,-1,-1,4,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"27",27,2,1,1,2,4,0,0,0,0,2,0,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
