"","dem_age","dem_gender","dem_ethnicity","dem_employment","dem_education","car_ownership","bikeshare_use","bike_to_work","dest_parking","cycling_frequ","cycling_history","escort","route_change","leave_cycleway","perception_safety_all","perception_speed_all","perception_stress_all","x_purpose_work","x_purpose_leisure","x_purpose_multi.mode","x_purpose_other","x_purpose_education","x_safety_gear_0","x_safety_gear_1","x_safety_gear_4","x_safety_gear_3","x_leave_reason_NA","x_leave_reason_cyclists","x_leave_reason_trafficlight","x_leave_reason_roadquality","x_leave_reason_pedestrians","x_leave_reason_roadside","x_leave_reason_other","x_leave_reason_busstop","x_leave_reason_intersection","x_stress_source_car","x_stress_source_intersection","x_stress_source_cyclist","x_stress_source_bus","x_stress_source_pedestrian","x_primary_purpose_work","x_primary_purpose_leisure","x_primary_purpose_shopping","x_primary_purpose_other","x_primary_purpose_social","x_primary_purpose_education","x_primary_purpose_hobby","x_primary_purpose_multi.mode","idx_gear","idx_2nd_purposes"
"11",3,0,1,2,4,2,1,0,2,3,5,2,0,0,-1,-2,-2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.1875
"12",2,1,1,2,4,3,1,1,1,3,5,0,0,1,2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.3125,0.5
"13",4,1,1,2,4,3,1,1,2,2,5,2,1,0,NA,NA,NA,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.1875
"14",6,1,1,0,4,2,0,1,1,3,5,0,0,0,2,-1,-2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.3125
"15",4,0,1,2,4,1,1,1,1,3,5,0,0,1,-1,-2,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.4375,0.375
"16",4,0,1,2,4,2,0,0,1,3,5,2,2,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.375,0.3125
"17",5,1,1,0,4,2,0,1,2,3,5,0,0,1,-1,-2,-1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.5625
"18",2,0,1,2,4,3,0,0,1,0,NA,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4375,0.0625
"19",3,1,1,2,4,0,1,1,2,1,5,0,2,1,-1,-2,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.375,0.375
"20",2,1,1,2,4,2,0,0,2,2,5,0,2,0,2,2,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.3125
"21",6,1,1,NA,4,2,0,0,NA,2,5,0,2,0,2,-2,-1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4375,0.0625
"22",3,0,1,2,4,0,0,0,1,3,5,2,2,0,2,-2,-2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.5625
"23",5,0,1,1,4,2,0,1,0,3,4,0,3,1,2,2,-2,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5
"24",3,0,1,2,4,3,0,NA,0,2,5,2,3,0,2,-1,-2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4375,0.0625
"25",4,0,1,2,4,2,0,1,2,3,5,2,0,1,2,-1,-1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.4375
"26",3,1,1,2,4,3,0,0,1,3,3,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.375,0.375
"27",2,1,1,2,4,0,0,0,2,0,NA,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3125,0.0625
"28",4,1,1,2,4,2,0,1,2,0,NA,2,2,0,2,2,-2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.125
"29",3,1,1,2,4,3,1,0,1,2,5,2,0,0,2,-1,-2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.3125,0.3125
"30",1,0,1,1,3,2,0,0,2,3,5,0,0,0,2,2,-2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.375,0.25
"31",3,1,1,2,4,0,1,0,1,2,5,0,0,0,-1,-2,-1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.3125
"32",4,1,1,2,4,2,1,0,1,3,5,2,0,1,-1,-2,-2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.625
"33",3,1,0,2,4,2,0,1,2,2,1,0,3,0,-1,-2,-1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.1875
"34",2,1,0,2,4,0,0,0,2,3,5,0,0,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.375
"35",2,1,1,2,4,2,0,1,0,2,5,0,3,1,-1,-2,-2,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.4375,0.625
"36",3,1,1,2,4,2,0,1,2,1,5,2,0,0,2,2,-2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.125
"37",2,1,1,2,4,1,1,1,2,3,4,0,0,0,2,2,-2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4375,0.3125
"38",2,1,1,2,4,2,1,1,2,2,5,0,0,0,-1,-2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.375,0.125
"39",2,1,1,2,4,3,1,0,2,3,5,0,3,1,2,-1,-2,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.3125,0.4375
"40",2,1,1,2,4,2,1,0,1,0,NA,0,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.125
"41",4,1,1,2,4,2,0,0,1,2,2,0,3,0,2,-1,-2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.375,0.3125
"42",2,1,1,2,3,0,1,1,2,3,5,0,0,0,2,-2,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.4375
"43",2,1,1,2,4,2,0,0,2,1,5,0,2,0,-2,-1,-2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.375,0.4375
"44",1,1,1,1,3,0,1,0,2,3,4,0,2,1,2,-1,-1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.375,0.3125
"45",3,0,1,2,4,2,0,1,2,2,5,0,0,0,2,-2,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.4375
"46",4,1,1,2,4,2,0,0,1,3,5,0,0,1,-1,-1,-1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.375,0.3125
